任務領域,詞彙,漢語拼音,詞類, 
個人資料,名字(ㄗ˙),míngzi,N,
,姓,xìng ,Vst,
,姓名,xìngmíng ,N,
,生日,shēngrì ,N,
,來,lái ,V,
,公園,gōngyuán ,N,
,住,zhù ,V,
,國家,guójiā ,N,
,中國,zhōngguó ,N,
,台灣,táiwān,N,
,美國,měiguó ,N,
,日本,rìběn ,N,
,人,rén ,N,
,城市,chéngshì ,N,
,街,jiē ,N,
,路,lù ,N,
,號,hào ,M,
,號碼,hàomǎ ,N,
,電話,diànhuà ,N,
,手機,shǒujī ,N,
,打電話,dǎdiànhuà ,Vi,
,電子郵件,diàn​zǐ​yóu​jiàn,N,
,結婚,jiéhūn ,Vp-sep,
,年,nián ,M,
,去年,qùnián ,N,
,明年,míngnián ,N,
,今年,jīnnián ,N,
,月,yuè ,N,
,日,rì ,N,
,時候,shíhòu ,N,
,小時,xiǎoshí ,N,
,點,diǎn,M,
,點鐘,diǎnzhōng,M,
,分 ,fēn,M,
,分鐘,fēnzhōng,M,
,早上(ㄕㄤ˙),zǎoshang ,N,
,上午,shàngwǔ ,N,
,中午,zhōngwǔ ,N,
,下午,xiàwǔ ,N,
,晚上(ㄕㄤ˙),wǎnshang ,N,
,星期,xīngqí,N,
,星期天/星期日,xīngqítiān/xīngqírì ,N,
,週末/周末,zhōumò ,N,
,天,tiān ,N,
,天 ,tiān ,M,
,昨天,zuótiān ,N,
,今天,jīntiān ,N,
,明天,míngtiān ,N,
,現在,xiànzài ,N,
,夏天,xiàtiān ,N,
,冬天,dōngtiān ,N,
,秋天,qiūtiān ,N,
,春天,chūntiān ,N,
,大家,dàjiā ,N,
,歲,suì ,M,
,年輕,niánqīng ,Vs,
,老,lǎo ,Vs,
,男,nán ,N,
,男生,nánshēng ,N,
,女,nǚ ,N,
,女生,nǚshēng ,N,
,先生,xiānshēng ,N,
,太太,tàitai ,N,
,小姐,xiǎojiě ,N,
,小孩,xiǎohái,N,
,家,jiā ,N,
,家人,jiārén ,N,
,爸爸,bàba,N,
,媽媽,māma,N,
,孩子,háizi ,N,
,兒子,érzi,N, 
,女兒,nǚér ,N,
,弟弟,dìdi,N,
,哥哥,gēge,N,
,妹妹,mèimei ,N,
,姊姊/姐姐,jiějie,N,
,好,hǎo ,Adv,
,真,zhēn ,Adv,
,很,hěn ,Adv,
,太,tài ,Adv,
,非常,fēicháng ,Adv,
,笑,xiào ,Vi,
,高興,gāoxìng ,Vs,
,快樂,kuàilè ,Vs,
,緊張,jǐnzhāng ,Vs,
,愛,ài ,Vst,
,喜歡,xǐhuān ,Vst,
,覺得,juéde,Vst,
,漂亮(ㄌㄧㄤ˙),piàoliang ,Vs,
,好看,hǎokàn ,Vs,
,可愛,kěài ,Vs,
,胖,pàng ,Vs,
,高,gāo ,Vs,
,矮,ǎi ,Vs,
,瘦,shòu ,Vs,
,第,dì ,Det,
,零,líng ,N,
,一,yī ,N,
,二,èr ,N,
,兩,liǎng ,N,
,三,sān ,N,
,四,sì ,N,
,五,wǔ ,N,
,六,liù ,N,
,七,qī ,N,
,八,bā ,N,
,九,jiǔ ,N,
,十,shí ,N,
,百,bǎi ,N,
,千,qiān ,N,
,萬,wàn ,N,
,半,bàn ,N,
,個,gè ,M,
,我,wǒ ,N,
,你/妳,nǐ ,N,
,您,nín ,N,
