詞彙,漢語拼音,詞類
成見,chéngjiàn ,N
成就,chéngjiù ,V
成品,chéngpǐn ,N
成全,chéngquán ,V
成人,chéngrén,N
成效,chéngxiào ,N
成衣,chéngyī ,N
成員,chéngyuán ,N
成長,chéngzhǎng,N
稱號,chēnghào ,N
稱呼,chēnghū ,V
撐腰,chēngyāo ,Vi
程式,chéngshì ,N
呈獻,chéngxiàn ,V
誠心,chéngxīn ,N
誠心誠意,chéngxīnchéngyì  ,Vs
誠摯,chéngzhì ,Vs
稱,chèng ,V
吃驚,chījīng ,Vs
吃苦,chīkŭ ,Vs
吃力,chīlì ,Vs
持,chí ,V
持久,chíjiŭ ,Vs
持平,chípíng ,Vs
持續,chíxù ,Vaux
池(子),chí(zi),N
遲鈍,chídùn ,Vs
充斥,chōngchì ,Vst
充裕,chōngyù ,Vs
沖淡,chōngdàn ,V
沖天,chōngtiān ,Vs
衝,chōng ,Vi
衝動,chōngdòng ,Vs
衝擊,chōngjí ,V
衝突,chōngtú ,N
憧憬,chōngjǐng ,Vst
重疊,chóngdié ,Vs
崇尚,chóngshàng ,Vst
寵愛,chǒngài ,Vst
寵物,chǒngwù,N
抽查,chōuchá ,V
抽空,chōukòng  ,Vi
抽象,chōuxiàng ,Vs
抽樣,chōuyàng ,V-sep
愁,chóu ,N
仇,chóu ,N
仇恨,chóuhèn ,N
稠密,chóumì ,Vs
出超,chūchāo ,Vs
出錯,chūcuò ,Vp-sep
出發點,chūfādiăn ,N
出局,chūjú ,Vp
出口,chūkǒu,N
出力,chūlì ,V-sep
出路,chūlù ,N
出馬,chūmă ,Vi
出賣,chūmài ,V
出面,chūmiàn ,Vi
出名,chūmíng ,Vs
出品,chūpǐn ,N
出示,chūshì ,V
出手,chūshǒu ,Vi
出頭,chūtóu ,N
出頭,chūtóu ,Vp
出土,chūtŭ ,Vp
出息,chūxí ,N
出血,chūxiě ,Vp
初期,chūqí ,N
儲備,chúbèi ,V
除此之外,chúcǐzhīwài,Conj
鋤頭,chútou,N
處,chŭ ,Vi
處方,chŭfāng ,N
處分,chŭfèn ,N
處分,chŭfèn ,V
處境,chŭjìng ,N
處事,chŭshì ,Vi
處於,chŭyú ,Vst
處女,chùnǚ ,N
穿梭,chuānsuō ,Vi
傳,chuán ,V
傳遞,chuándì ,V
傳奇,chuánqí ,N
傳奇,chuánqí ,Vs
傳神,chuánshén ,Vs
傳授,chuánshòu ,V
船隻,chuánzhī ,N
喘,chuăn ,V
串,chuàn ,M
創傷,chuāngshāng ,N
創,chuàng ,V
創辦,chuàngbàn ,V
創立,chuànglì ,V
創新,chuàngxīn ,V
創業,chuàngyè ,V-sep
創作,chuàngzuò ,V
吹牛,chuīniú ,V-sep
垂,chuí ,V
垂直,chuízhí ,Vs
辭,cí ,V
辭典,cídiǎn,N
辭行,cíxíng ,Vi
慈善,císhàn ,Vs
此刻,cǐkè ,N
次,cì ,Det
次要,cìyào ,Vs-attr
伺候,cìhòu ,V
刺殺,cìshā ,V
匆忙,cōngmáng ,Vs
從容,cōngróng,Vs
從而,cóngér ,Conj
湊巧,còuqiăo ,Vs
粗糙,cūcāo ,Vs
粗魯,cūlŭ ,Vs
促,cù ,V
促成,cùchéng ,Vpt
促使,cùshǐ ,Vst
促銷,cùxiāo ,V
簇擁,cùyǒng ,V
摧殘,cuīcán ,V
摧毀,cuīhuǐ ,V
催眠,cuīmián ,V
脆弱,cuìruò ,Vs
存貨,cúnhuò ,N
磋商,cuōshāng ,Vi
撮合,cuòhé ,V
搭配,dāpèi ,V
達,dá ,Vst
答覆,dáfù ,V
打,dă ,Prep
打鬥,dădòu ,Vi
打賭,dădŭ ,V-sep
打發,dăfā ,V
打擊,dăjí ,V
打量,dăliàng ,V
打獵,dăliè ,V-sep
打牌,dăpái ,V-sep
打手,dăshǒu ,N
打烊,dăyáng ,Vp
大道,dàdào ,N
大隊,dàduì ,N
大使,dàshǐ ,N
大選,dàxuăn ,N
大洋洲,dàyángzhōu,N
大意,dàyì ,N
大致,dàzhì ,Vs-attr
呆,dāi ,Vs
待,dāi ,Vi
歹徒,dăitú ,N
逮捕,dàibǔ,V
代課,dàikè ,V-sep
怠慢,dàimàn ,Vs
擔,dān,V
擔當,dāndāng ,V
擔負,dānfù ,V
單獨,dāndú ,Adv
單價,dānjià ,N
單據,dānjù ,N
單親,dānqīn ,Vs-attr
單行道,dānxíngdào ,N
膽,dăn ,N
膽固醇,dăngùchún ,N
但,dàn ,Adv
淡季,dànjì,N
淡水,dànshuǐ ,N
刀,dāo ,M
導師,dăoshī ,N
導致,dăozhì ,Vst
島嶼,dăoyŭ ,N
道,dào ,Vi
道別,dàobié ,Vi
道地,dàodì ,Vs
道士,dàoshì ,N
道義,dàoyì ,N
到期,dàoqí ,Vp
到頭來,dàotóulái ,Adv
倒數,dàoshǔ,Vi
當,dāng ,Det
當兵,dāngbīng ,V-sep
當代,dāngdài ,N
當局,dāngjú ,N
當前,dāngqián ,N
當心,dāngxīn ,Vs
黨派,dăngpài ,N
黨員,dăngyuán ,N
得以,déyǐ ,Adv
登場,dēngchăng ,Vi
登陸,dēnglù ,Vi
燈火,dēnghuǒ ,N
燈籠,dēnglóng ,N
等候,děnghòu ,Vst
等價,děngjià ,Vs
瞪,dèng ,V
滴,dī ,V
嘀咕,dígū ,Vi
底片,dǐpiàn ,N
抵,dǐ ,V
抵押,dǐyā ,V
抵制,dǐzhì ,V
地表,dìbiăo ,N
地步,dìbù ,N
地勢,dìshì ,N
地域,dìyù ,N
地獄,dìyù ,N
地質,dìzhí ,N
地主,dìzhŭ ,N
締結,dìjié ,V
締造,dìzào ,V
弟兄,dìxiōng ,N
顛覆,diānfù ,V
典型,diănxíng ,N
典雅,diănyă ,Vs
點子,diănzi ,N
奠定,diàndìng ,Vpt
惦記,diànjì ,Vst
電工,diàngōng ,N
電力,diànlì ,N
電流,diànliú ,N
電器,diànqì ,N
電視劇,diànshìjù ,N
電壓,diànyā ,N
凋零,diāolíng ,Vs
調,diào,V
調查,diàochá,N
調度,diàodù ,Vi
吊橋,diàoqiáo,N
釣魚,diàoyú ,V-sep
疊,dié ,V
頂,dǐng ,Adv
頂,dǐng ,V
定額,dìngé ,N
定義,dìngyì ,N
釘,dìng ,V
訂購,dìnggòu ,V
丟棄,diūqì ,V
凍結,dòngjié ,V
洞穴,dòngxuè ,N
動產,dòngchăn,N
動機,dòngjī ,N
動靜,dòngjìng ,N
動力,dònglì ,N
動亂,dòngluàn ,Vs
動脈,dòngmài ,N
動態,dòngtài ,N
動向,dòngxiàng ,N
動員,dòngyuán ,V
