詞彙,漢語拼音,詞類
艱鉅,jiānjù ,Vs
艱苦,jiānkŭ ,Vs
艱難,jiānnán ,Vs
簡便,jiănbiàn ,Vs
簡稱,jiănchēng ,Vst
簡化,jiănhuà ,Vpt
簡體,jiăntǐ,N
檢討,jiăntăo ,V
漸,jiàn ,Adv
賤,jiàn ,Vs
濺,jiàn ,V
見解,jiànjiě ,N
見識,jiànshì ,V
見證,jiànzhèng ,V
建造,jiànzào ,V
健身,jiànshēn ,Vi
健身房,jiànshēnfáng ,N
健壯,jiànzhuàng ,Vs
將,jiāng ,Prep
將軍,jiāngjūn ,N
獎勵,jiănglì ,V
獎賞,jiăngshăng ,N
獎狀,jiăngzhuàng ,N
講理,jiănglǐ ,Vs
講習,jiăngxí ,N
講義,jiăngyì ,N
講座,jiăngzuò ,N
交錯,jiāocuò ,Vs
交貨,jiāohuò ,V-sep
交集,jiāojí ,N
交情,jiāoqíng ,N
交涉,jiāoshè ,Vi
交談,jiāotán ,Vi
焦急,jiāojí ,Vs
腳本,jiăoběn ,N
攪和,jiǎohuo,Vi
轎車,jiàochē ,N
叫好,jiàohăo ,Vi
教官,jiàoguān ,N
教化,jiàohuà ,V
教誨,jiàohuǐ ,N
教徒,jiàotú ,N
教學,jiàoxué,N
教員,jiàoyuán ,N
較量,jiàoliàng ,Vi
皆,jiē ,Adv
階層,jiēcéng ,N
階級,jiējí ,N
街坊(ㄈㄤ˙),jiēfang,N
接管,jiēguăn ,V
接連,jiēlián ,Adv
接納,jiēnà ,V
接洽,jiēqià ,V
接下來,jiēxiàlái,Adv
揭幕,jiēmù ,Vp
揭曉,jiēxiăo ,V
截,jié ,M
截,jié ,V
潔白,jiébái ,Vs
節儉,jiéjiăn ,Vs
節慶,jiéqìng ,N
竭力,jiélì ,Adv
結實(ㄕ˙),jiéshi ,Vs
結業,jiéyè ,Vp
結緣,jiéyuán ,Vi
捷運,jiéyùn,N
解答,jiědá ,N
解放,jiěfàng ,V
解渴,jiěkě ,Vs
解剖,jiěpǒu,V
解說,jiěshuō ,V
解體,jiětǐ ,Vp
解脫,jiětuō ,V
解約,jiěyuē ,Vp-sep
屆,jiè,Vst
屆時,jièshí ,Adv
戒,jiè ,V
戒備,jièbèi ,Vi
借貸,jièdài ,V
藉口,jièkǒu ,N
介入,jièrù ,V
金錢,jīnqián  ,N
金魚,jīnyú ,N
津貼,jīntiē ,N
緊湊,jǐncòu ,Vs
緊密,jǐnmì ,Vs
緊縮,jǐnsuō ,Vi
謹慎,jǐnshèn ,Vs
近,jìn ,Adv
近,jìn,Det
勁/勁兒,jìn/jìnr,N
進場,jìnchăng,Vi
進度,jìndù ,N
進而,jìnér ,Conj
進攻,jìngōng ,V
進化,jìnhuà ,Vp
進軍,jìnjūn ,V
進修,jìnxiū ,V
進展,jìnzhăn ,Vi
晉級,jìnjí ,Vp
盡量,jìnliàng,Adv
禁令,jìnlìng ,N
精,jīng ,Vs
精光,jīngguāng ,Vs
精華,jīnghuá ,N
精明,jīngmíng ,Vs
精髓,jīngsuǐ ,N
精緻,jīngzhì ,Vs
經典,jīngdiăn ,N
經濟,jīngjì ,Vs
經書,jīngshū ,N
驚惶,jīnghuáng ,Vs
驚奇,jīngqí ,Vs
驚喜,jīngxǐ ,Vs
驚險,jīngxiăn ,Vs
鯨魚,jīngyú ,N
井,jǐng ,N
警報,jǐngbào ,N
警覺,jǐngjué ,Vs
警惕,jǐngtì ,V
警衛,jǐngwèi ,N
景觀,jǐngguān ,N
景氣,jǐngqì ,N
景物,jǐngwù ,N
景象,jǐngxiàng ,N
淨,jìng ,Adv
竟,jìng ,Adv
敬,jìng ,V
敬佩,jìngpèi ,Vst
境地,jìngdì ,N
靜脈,jìngmài,N
靜態,jìngtài,N
競賽,jìngsài ,Vi
競選,jìngxuăn ,V
競爭,jìngzhēng,N
揪,jiū ,V
糾紛,jiūfēn ,N
酒店,jiŭdiàn ,N
酒館,jiŭguăn ,N
酒精,jiŭjīng ,N
就,jiù ,Vst
就緒,jiùxù ,Vs
救濟,jiùjì ,V
救援,jiùyuán ,V
居,jū ,Vst
局部,júbù ,Det
局面,júmiàn ,N
沮喪,jŭsàng,Vs
舉例,jŭlì ,V-sep
舉止,jŭzhǐ ,N
舉重,jŭzhòng ,N
巨人,jùrén ,N
拒,jù ,V
距,jù ,Prep
據,jù ,Prep
據悉,jùxī ,Conj
聚餐,jùcān ,V-sep
俱全,jùquán ,Vs-pred
捐獻,juānxiàn ,V
捐贈,juānzèng ,V
決賽,juésài ,N
決議,juéyì ,N
抉擇,juézé ,N
絕大多數,juédàduōshù ,Det
絕跡,juéjī ,Vp
均,jūn ,Adv
均衡,jūnhéng ,Vs
均勻,jūnyún ,Vs
軍備,jūnbèi ,N
軍閥,jūnfá ,N
軍官,jūnguān ,N
軍艦,jūnjiàn ,N
開辦,kāibàn ,V
開導,kāidăo ,V
開動,kāidòng ,Vi
開發,kāifā,N
開飯,kāifàn ,Vp
開放,kāifàng ,Vs
開口,kāikǒu ,V-sep
開闊,kāikuò ,Vs
開路,kāilù ,V-sep
開幕,kāimù ,Vp
開盤,kāipán ,Vp
開闢,kāipì ,V
開啟,kāiqǐ ,Vpt
開頭/開頭兒,kāitóu/kāitóur,N
開銷,kāixiāo ,N
開業,kāiyè ,Vp
開展,kāizhăn ,V
開張,kāizhāng ,Vp
刊物,kānwù,N
刊登,kāndēng ,V
看守,kānshǒu ,V
康復,kāngfù ,Vp
慷慨,kāngkăi ,Vs
扛,káng ,V
抗爭,kàngzhēng ,Vi
考場,kăochăng ,N
考古,kăogŭ ,Vi
考量,kǎoliáng,N
考生,kăoshēng ,N
考驗,kăoyàn ,V
烤肉,kǎoròu,N
靠,kào,Vst
刻畫/劃,kēhuà ,Vi
科幻,kēhuàn ,Vs
苛責,kēzé ,V
殼,ké ,N
可觀,kěguān ,Vs
可見,kějiàn ,Conj
可望,kěwàng ,Vaux
可行,kěxíng ,Vs
刻薄,kèbó ,Vs
刻苦,kèkŭ ,Vs
刻意,kèyì ,Adv
客機,kèjī ,N
課業,kèyè ,N
克制,kèzhì ,V
吭聲,kēngshēng ,Vi
空,kōng,N
空曠,kōngkuàng ,Vs
空難,kōngnàn,N
空談,kōngtán ,Vi
空運,kōngyùn ,V
孔,kǒng ,N
恐嚇,kǒnghè ,V
恐懼,kǒngjù ,Vs
口,kŏu,M
口頭,kǒutóu ,N
口吻,kǒuwěn ,N
扣除,kòuchú ,V
苦工,kŭgōng ,N
苦難,kŭnàn,N
苦惱,kŭnăo ,Vs
苦衷,kŭzhōng ,N
庫存,kùcún ,N
誇,kuā ,V
誇耀,kuāyào ,V
跨越,kuàyuè ,V
快活,kuàihuó ,Vs
快速,kuàisù,Vs
寬廣,kuānguăng ,Vs
寬闊,kuānkuò ,Vs
款,kuăn ,M
款待,kuăndài ,V
款式,kuănshì ,N
狂風,kuángfēng ,N
狂妄,kuángwàng ,Vs
礦產,kuàngchăn ,N
礦工,kuànggōng,N
虧,kuī ,Vp
昆蟲,kūnchóng ,N
捆,kŭn ,V
困,kùn ,Vi
困境,kùnjìng ,N
困擾,kùnrăo ,N
困擾,kùnrǎo,Vs
擴建,kuòjiàn ,V
擴散,kuòsàn,Vs
擴張,kuòzhāng ,Vst
拉票,lāpiào ,V-sep
臘月,làyuè ,N
來賓,láibīn ,N
來得,láide ,Adv
來客,láikè ,N
欄,lán,M
攔,lán ,V
懶惰,lănduò ,Vs
懶散,lănsàn,Vs
朗讀,lăngdú ,V
朗誦,lăngsòng ,V
浪費,làngfèi,V
牢,láo ,N
勞改,láogăi ,Vi
勞累,láolèi ,Vs
老年,lăonián ,N
老人家,lăorénjiā ,N
老鼠,lăoshŭ ,N
老天爺,lăotiānyé ,N
老頭兒/老頭子,lăotóur/lăotóuzi ,N
老鄉,lăoxiāng ,N
老子,lăozi,N
雷,léi ,N
雷達,léidá ,N
雷同,léitóng ,Vs
累積,lěijī,V
類似,lèisì ,Vst
類型,lèixíng ,N
冷凍,lěngdòng ,V
冷汗,lěnghàn ,N
冷門,lěngmén ,Vs
冷清,lěngqīng ,Vs
勒索,lèsuǒ ,V
哩,lī ,Ptc
黎明,límíng ,N
罹難,línàn,Vp
里程,lǐchéng ,N
理財,lǐcái ,Vi
理論,lǐlùn ,Vi
理所當然,lǐsuǒdāngrán,Vs
理性,lǐxìng ,Vs
理學,lǐxué ,N
理智,lǐzhì ,Vs
禮服,lǐfú ,N
禮節,lǐjié ,N
禮貌,lǐmào ,Vs
力求,lìqiú ,V
力行,lìxíng ,V
力學,lìxué ,N
立國,lìguó ,Vi
立即,lìjí ,Vs-attr
立體,lìtǐ ,Vs
利率,lìlǜ ,N
利弊,lìbì ,N
例,lì ,N
例,lì ,Prep
歷屆,lìjiè ,N
歷來,lìlái ,N
歷年,lìnián ,N
聯,lián ,N
聯,lián ,V
聯盟,liánméng ,N
聯繫,liánxì ,V
聯想,liánxiăng ,V
連帶,liándài ,Vs-attr
連結,liánjié ,V
連任,liánrèn ,Vst
連線,liánxiàn ,V-sep
廉價,liánjià ,Vs
廉潔,liánjié ,Vs
臉龐,liănpáng ,N
臉譜,liănpŭ ,N
良機,liángjī ,N
兩極,liăngjí ,N
兩口子,liăngkǒuzi ,N
遼闊,liáokuò ,Vs
列,liè ,V
列車,lièchē ,N
列國,lièguó ,N
列入,lièrù ,Vst
獵人,lièrén ,N
烈士,lièshì ,N
臨,lín ,Adv
臨,lín ,Prep
臨床,línchuáng ,Vs-attr
鄰里,línlǐ ,N
鈴,líng ,N
靈,líng ,Vs
靈感,línggăn ,N
靈驗,língyàn ,Vs
領隊,lǐngduì ,N
領會,lǐnghuì ,Vst
領悟,lǐngwù ,Vpt
令,lìng ,V
另,lìng ,Adv
溜冰,liūbīng ,V-sep
留,liú,V
流程,liúchéng ,N
流傳,liúchuán ,V
流落,liúluò ,Vi
流氓,liúmáng ,N
流失,liúshī ,Vst
流水,liúshuǐ,N
流通,liútōng ,Vi
流星,liúxīng ,N
流域,liúyù ,N
柳樹,liŭshù ,N
籠子,lóngzi ,N
籠罩,lóngzhào ,Vs
壟斷,lǒngduàn ,V
樓房,lóufáng ,N
漏,lòu,Vpt
爐子,lúzi ,N
陸地,lùdì ,N
路過,lùguò ,V
露天,lùtiān ,N
錄影,lùyǐng ,V-sep
錄影機,lùyǐngjī,N
輪廓,lúnkuò ,N
倫理,lúnlǐ ,N
淪陷,lúnxiàn ,Vp
論,lùn ,Prep
論點,lùndiăn ,N
卵,luăn ,N
囉嗦(ㄙㄨㄛ˙),luōsuo,Vs
鑼,luó ,N
邏輯,luójí ,N
落得,luòde ,Vst
落魄,luòtuò,Vs
落選,luòxuăn ,Vp
駱駝(ㄊㄨㄛ˙),luòtuo,N
驢,lǘ,N
鋁,lǚ ,N
旅費,lǚfèi ,N
旅途,lǚtú ,N
旅行,lǚxíng,N
旅遊,lǚyóu,N
履歷,lǚlì,N
履行,lǚxíng ,V
略,lüè ,Adv
麻醉, mázuì  ,V
馬鈴薯, mălíngshŭ  ,N
埋伏, máifú  ,Vi
買賣,măimài ,N
買主, măizhŭ  ,N
邁, mài  ,V
邁進, màijìn  ,Vi
麥子, màizi  ,N
賣座, màizuò  ,Vs
瞞, mán  ,V
蠻橫, mánhèng   ,Vs
滿懷, mănhuái  ,Vst
漫長, màncháng  ,Vs
蔓延, mànyán  ,Vs
盲從, mángcóng  ,Vs
盲人, mángrén  ,N
芒果,mángguǒ ,N
茫然, mángrán  ,Vs
毛毯, máotăn  ,N
茂密, màomì  ,Vs
冒險, màoxiăn  ,Vi
枚, méi  ,M
眉毛, méimáo  ,N
眉頭, méitóu  ,N
媒體,méitǐ ,N
每每, měiměi  ,Adv
美滿, měimăn  ,Vs
美容院, měiróngyuàn  ,N
美食,měishí,N
美洲,měizhōu,N
悶, mēn  ,Vs
悶熱, mēnrè  ,Vs
門戶, ménhù  ,N
蒙, méng  ,Vst
猛,měng ,Adv
猛烈, měngliè ,Vs
夢見, mèngjiàn  ,Vpt
謎, mí  ,N
謎語, míyŭ  ,N
迷宮, mígōng  ,N
迷惑, míhuò  ,Vs
迷戀, míliàn  ,Vst
彌補, míbŭ  ,V
密集, mìjí  ,Vs
蜜, mì  ,N
鳴, míng  ,Vi
明白, míngbái  ,Adv
明理,mínglǐ ,Vs
明日, míngrì  ,N
明智, míngzhì  ,Vs
名額, míngé  ,N
名號, mínghào  ,N
名氣, míngqì  ,N
名勝, míngshèng  ,N
名聲, míngshēng  ,N
名堂, míngtáng  ,N
名下, míngxià  ,N
冥想, míngxiăng  ,Vi
命名, mìngmíng  ,V-sep
命中, mìngzhòng ,Vpt
綿延, miányán  ,Vst
勉強,miănqiăng ,V
免稅, miănshuì  ,Vs
免疫, miănyì  ,Vs
面孔,miànkǒng ,N
面談, miàntán  ,Vi
描繪, miáohuì  ,V
描述,miáoshù,V
民俗, mínsú  ,N
民營, mínyíng  ,Vs-attr
敏感,mǐngăn ,Vs
敏捷,mǐnjié ,Vs
滅, miè  ,V
模範, mófàn   ,N
模具, mójù  ,N
模式, móshì  ,N
魔術, móshù  ,N
末, mò  ,N
末, mò  ,N
末期, mòqí  ,N
墨, mò  ,N
沒落, mòluò  ,Vs
沒收, mòshōu  ,V
默默, mòmò  ,Adv
默契, mòqì  ,N
漠視, mòshì ,V
謀生, móushēng  ,Vi
某些,mǒuxiē ,Det
畝, mŭ  ,M
母語,mǔyǔ,N
木材, mùcái  ,N
木刻, mùkē  ,N
木料, mùliào  ,N
木偶,mùǒu ,N
沐浴, mùyù  ,Vi
目睹, mùdŭ  ,Vpt
目光, mùguāng  ,N
目擊, mùjí  ,Vpt
牧場, mùchăng  ,N
幕, mù  ,N
募集, mùjí  ,V
拿,ná ,Prep
納悶,nàmèn ,Vs
納入,nàrù ,V
納稅,nàshuì ,V-sep
乃,năi ,Adv
耐,nài ,Vs-pred
耐力,nàilì ,N
男方,nánfāng ,N
南極洲,nánjízhōu,N
難度,nándù ,N
難關,nánguān ,N
難免,nánmiăn ,Vs
難題,nántí ,N
難民,nànmín,N
囊括,nángguā ,V
腦海,năohăi ,N
腦力,năolì ,N
內閣,nèigé ,N
內涵,nèihán ,N
內銷,nèixiāo ,Vs-attr
內在,nèizài,N
內戰,nèizhàn ,N
內政,nèizhèng ,N
能量,néngliàng ,N
擬,nǐ ,V
擬定,nǐdìng ,V
膩,nì ,Vs
粘,nián ,Vs
念頭,niàntou,N
娘,niáng ,N
娘家,niángjiā ,N
凝固,nínggù ,Vp
凝結,níngjié ,V
凝聚,níngjù ,V
凝視,níngshì ,V
扭轉,niŭzhuăn ,V
農具,nóngjù ,N
農田,nóngtián ,N
農作物,nóngzuòwù ,N
弄錯,nòngcuò ,Vp
奴隸,núlì ,N
努力,nǔlì,N
怒氣,nùqì ,N
暖,nuăn ,V
挪,nuó ,V
懦弱,nuòruò ,Vs
諾言,nuòyán ,N
女方,nǚfāng ,N
虐待,nüèdài ,V
歐洲,ōuzhōu,N
偶而/爾,ǒuér/ ěr ,Adv
趴,pā ,Vi
拍馬屁,pāimăpì ,Vi
拍攝,pāishè ,V
拍照,pāizhào,V-sep
拍子,pāizi ,N
排除,páichú ,V
排擠,páijǐ ,V
排名,páimíng ,Vi
派出所,pàichūsuǒ ,N
派對,pàiduì,N
派遣,pàiqiăn ,V
派頭,pàitóu ,N
判,pàn,V
盼,pàn ,Vst
旁人,pángrén ,N
旁聽,pángtīng ,V
拋,pāo ,V
拋棄,pāoqì ,V
跑道,păodào ,N
泡,pào ,M
泡沫,pàomò ,N
陪伴,péibàn,V
培訓,péixùn ,V
培育,péiyù ,V
配,pèi ,V
配,pèi ,Vs
配給,pèijǐ,V
配音,pèiyīn ,V-sep
噴漆,pēnqī ,V-sep
盆地,péndì ,N
蓬勃,péngbó ,Vs
捧場,pěngchăng ,Vi
匹,pī,M
批發,pīfā  ,V
批准,pīzhŭn ,Vpt
疲憊,píbèi ,Vs
匹,pǐ ,M
譬如,pìrú ,Prep
偏差,piānchā,N
便宜(一˙),piányi,N
便宜(一˙),piányi,Vs
片,piàn ,M
片刻,piànkè ,N
票,piào ,M
拼,pīn ,V
貧苦,pínkŭ ,Vs
貧民,pínmín ,N
品味,pǐnwèi ,N
品種,pǐnzhǒng ,N
乒乓球/桌球,pīnpāngqiú/zhuōqiú,N
平凡,píngfán ,Vs
平面,píngmiàn ,N
平穩,píngwěn ,Vs
平行,píngxíng ,Vs
評估,pínggū ,V
評價,píngjià ,N
評論,pínglùn ,V
潑,pō ,V
婆家,pójiā ,N
破案,pòàn ,V-sep
破產,pòchăn ,Vp
破除,pòchú ,V
破獲,pòhuò ,V
破例,pòlì ,Vp-sep
破碎,pòsuì ,Vs
迫害,pòhài ,V
魄力,pòlì ,N
樸素,púsù ,Vs
曝光,pùguāng ,Vp
暴露,pùlù ,Vs
漆,qī ,N
淒涼,qīliáng ,Vs
欺侮,qīwŭ ,V
奇觀,qíguān ,N
奇蹟,qíjī ,N
奇妙,qímiào ,Vs
奇異,qíyì ,Vs
期待,qídài,Vst
期貨,qíhuò ,N
期望,qíwàng ,Vst
旗幟,qízhì ,N
乞丐,qǐgài ,N
啟,qǐ ,Vi
啟發,qǐfā ,V
啟示,qǐshì ,N
啟事,qǐshì ,N
起步,qǐbù ,Vi
起伏,qǐfú ,Vi
起碼,qǐmă ,Adv
起源,qǐyuán ,N
氣概,qìgài ,N
氣管,qìguăn ,N
氣派,qìpài ,Vs
氣勢,qìshì ,N
氣體,qìtǐ ,N
氣壓,qìyā ,N
契機,qìjī ,N
棄權,qìquán ,Vi
恰當,qiàdàng ,Vs
恰好,qiàhăo ,Adv
恰恰,qiàqià ,Adv
洽商,qiàshāng ,Vi
洽談,qiàtán ,Vi
鉛,qiān ,N
牽連,qiānlián ,Vst
簽署,qiānshù ,V
千萬,qiānwàn,Det
謙遜,qiānxùn ,Vs
前輩,qiánbèi ,N
前程,qiánchéng ,N
前後,qiánhòu ,N
前景,qiánjǐng ,N
前科,qiánkē ,N
前提,qiántí ,N
潛藏,qiáncáng ,Vi
潛力,qiánlì ,N
虔誠,qiánchéng ,Vs
淺薄,qiănbó ,Vs
淺顯,qiănxiăn ,Vs
腔調,qiāngdiào ,N
牆角,qiángjiăo ,N
強勁,qiángjìn ,Vs
強求,qiángqiú ,V
強權,qiángquán ,N
強壯,qiángzhuàng ,Vs
瞧不起,qiáobùqǐ ,Vst
橋樑,qiáoliáng ,N
巧合,qiăohé ,Vs
俏,qiào ,Vs
翹,qiào ,Vs
峭壁,qiàobì ,N
蹺課,qiàokè ,V-sep
切磋,qiēcuō ,V
且,qiě ,Adv
且,qiě ,Conj
切實,qièshí ,Vs
竊賊,qièzéi ,N
親,qīn ,Vs
親熱,qīnrè ,Vs
親身,qīnshēn ,Adv
親生,qīnshēng ,Vs-attr
侵犯,qīnfàn ,V
侵略,qīnlüè ,V
侵蝕,qīnshí ,V
侵襲,qīnxí ,V
欽佩,qīnpèi ,Vst
琴,qín ,N
勤奮,qínfèn ,Vs
青春,qīngchūn ,N
青翠,qīngcuì ,Vs
青蛙,qīngwā ,N
清澈,qīngchè ,Vs
清潔,qīngjié ,Vs
清靜,qīngjìng ,Vs
清廉,qīnglián ,Vs
清幽,qīngyōu ,Vs
清掃,qīngsăo ,V
傾向,qīngxiàng ,N
輕薄,qīngbó ,Vs
輕蔑,qīngmiè ,Vs
輕易,qīngyì ,Adv
情報,qíngbào ,N
情操,qíngcāo ,N
情婦,qíngfù ,N
情節,qíngjié ,N
情景,qíngjǐng ,N
情侶,qínglǚ ,N
情趣,qíngqù ,N
慶幸,qìngxìng ,Vs
丘陵,qiūlíng ,N
求學,qiúxué ,Vi
求助,qiúzhù ,Vi
屈服,qūfú ,Vs
趨勢,qūshì ,N
渠道,qúdào ,N
取材,qŭcái ,Vs
取締,qŭdì ,V
取樣,qŭyàng ,N
取悅,qŭyuè ,V
趣味,qùwèi ,N
圈,quān ,V
圈子,quānzi ,N
拳,quán ,M
全力,quánlì ,Adv
全盤,quánpán ,Det
權力,quánlì ,N
權威,quánwēi ,N
權益,quányì ,N
泉源,quányuán ,N
勸導,quàndăo ,V
勸告,quàngào ,N
缺陷,quēxiàn ,N
確保,quèbăo ,V
確切,quèqiè ,Vs
確實,quèshí ,Adv
群島,qúndăo,N
群居,qúnjū ,Vs
染料,rănliào ,N
嚷,răng ,Vi
饒,ráo ,V
熱潮,rècháo ,N
熱帶,rèdài ,N
熱量,rèliàng ,N
熱水瓶,rèshuǐpíng ,N
仁愛,rénài ,N
人次,réncì ,N
人道,réndào ,N
人禍,rénhuò ,N
人際,rénjì,N
人情,rénqíng ,N
人群,rénqún ,N
人士,rénshì ,N
人手,rénshǒu ,N
人選,rénxuăn ,N
人造,rénzào ,Vs-attr
忍痛,rěntòng ,Vs
任,rèn ,M
任期,rènqí ,N
任意,rènyì ,Adv
認錯,rèncuò ,Vp
認定,rèndìng ,V
日程,rìchéng ,N
日光燈,rìguāngdēng ,N
日益,rìyì ,Adv
容,róng ,V
容量,róngliàng ,N
容納,róngnà ,Vst
容器,róngqì ,N
容許,róngxŭ ,V
溶,róng ,Vs
溶化,rónghuà ,Vp
融合,rónghé ,V
融洽,róngqià,Vs
榮譽,róngyù ,N
揉,róu ,V
柔軟,róuruăn ,Vs
肉麻,ròumá ,Vs
肉體,ròutǐ ,N
如此,rúcĭ,Adv
儒家,rújiā ,N
入超,rùchāo,Vs
入口,rùkǒu ,Vi
入世,rùshì ,Vs
軟弱,ruănruò ,Vs
軟體,ruăntǐ ,N
若,ruò ,Conj
若干,ruògān ,Det
撒謊,sāhuăng ,V-sep
撒,să ,V
灑,să ,V
塞車,sāichē ,Vs
賽,sài ,V
散文,sănwén ,N
散布/佈,sànbù ,V
喪事,sāngshì ,N
嗓子,săngzi ,N
喪生,sàngshēng ,Vp
騷動,sāodòng ,Vi
嫂子,săozi ,N
色澤,sèzé ,N
剎/煞車,shāchē ,V-sep
沙拉,shālā ,N
沙啞,shāyă ,Vs
傻瓜,shăguā ,N
山峰,shānfēng ,N
山谷,shāngŭ ,N
山脈,shānmài  ,N
閃電,shăndiàn ,N
閃爍,shănshuò ,Vi
閃耀,shănyào ,Vs
擅長,shàncháng ,Vst
傷害,shānghài,N
傷口,shāngkǒu ,N
傷亡,shāngwáng ,Vp
商榷,shāngquè ,Vi
商討,shāngtăo ,V
賞,shăng ,V
尚,shàng ,Adv
上吊,shàngdiào ,Vi
上好,shànghăo ,Vs-attr
上進,shàngjìn ,Vs
上空,shàngkōng ,N
上路,shànglù ,Vp
上門,shàngmén ,Vi
上司,shàngsī ,N
上下,shàngxià ,N
上旬,shàngxún ,N
上演,shàngyăn ,V
上癮,shàngyǐn ,Vp
上漲,shàngzhǎng,Vp
燒香,shāoxiāng ,V-sep
奢侈,shēchǐ ,Vs
奢望,shēwàng ,Vst
設,shè ,V
設施,shèshī ,N
設想,shèxiăng ,Vi
射擊,shèjí ,V
射手,shèshǒu ,N
涉及,shèjí ,Vpt
涉嫌,shèxián ,Vst
社論,shèlùn ,N
社區,shèqū,N
攝取,shèqŭ ,V
攝氏,shèshì ,N
攝影機,shèyǐngjī,N
深奧,shēnào ,Vs
深沉,shēnchén ,Vs
深度,shēndù ,N
深厚,shēnhòu ,Vs
深切,shēnqiè ,Vs
深入,shēnrù ,V
深造,shēnzào ,Vi
身段,shēnduàn ,N
身教,shēnjiào ,N
身為,shēnwéi,Vst
身子,shēnzi ,N
伸張,shēnzhāng ,V
神,shén ,Vs
神情,shénqíng ,N
審核,shěnhé ,V
審判,shěnpàn ,V
審慎,shěnshèn ,Vs
審議,shěnyì ,V
甚,shèn ,Adv
滲入,shènrù ,V
生詞,shēngcí,N
生火,shēnghuǒ ,V-sep
生理,shēnglǐ ,N
生平,shēngpíng ,N
生氣,shēngqì ,N
生前,shēngqián ,N
生人,shēngrén ,N
生死,shēngsǐ ,N
生態,shēngtài ,N
生物,shēngwù ,N
生效,shēngxiào ,Vp
生硬,shēngyìng ,Vs
生育,shēngyù,N
生育,shēngyù,V
生殖,shēngzhí ,Vi
升遷,shēngqiān ,Vi
升值,shēngzhí ,Vp
聲稱,shēngchēng ,V
聲明,shēngmíng ,N
聲勢,shēngshì ,N
省,shěng,N
省事,shěngshì ,Vs
盛,shèng ,Vs
盛情,shèngqíng ,N
盛行,shèngxíng ,Vs
盛裝,shèngzhuāng ,Vs
勝地,shèngdì ,N
聖賢,shèngxián ,N
失,shī ,Vpt
失靈,shīlíng ,Vp
失落,shīluò ,Vs
失明,shīmíng ,Vp
失事,shīshì ,Vp
失手,shīshǒu ,Vs
失蹤,shīzōng ,Vp
師範,shīfàn ,Vs-attr
施肥,shīféi ,V-sep
施行,shīxíng ,V
屍體,shītǐ ,N
石膏,shígāo ,N
十足,shízú ,Vs
拾,shí ,V
時差,shíchā,N
時光,shíguāng ,N
時節,shíjié ,N
時髦,shímáo ,Vs
時效,shíxiào ,N
實地,shídì ,Adv
實踐,shíjiàn ,V
實況,shíkuàng ,N
實例,shílì ,N
實習,shíxí ,Vi
實證,shízhèng ,N
實質,shízhí ,N
屎,shǐ ,N
史料,shǐliào ,N
使喚,shǐhuàn ,V
使節,shǐjié ,N
使勁,shǐjìn ,Vi
使命,shǐmìng ,N
士兵,shìbīng ,N
仕女,shìnǚ ,N
示範,shìfàn ,Vi
市面,shìmiàn ,N
市容,shìróng ,N
世代,shìdài ,N
世間,shìjiān ,N
世事,shìshì ,N
試卷,shìjuàn ,N
試圖,shìtú ,Vaux
逝世,shìshì ,Vp
勢必,shìbì ,Adv
事故,shìgù ,N
事變,shìbiàn ,N
事態,shìtài ,N
事務,shìwù ,N
事宜,shìyí ,N
釋放,shìfàng ,V
嗜好,shìhào ,N
視為,shìwéi,V
室友,shìyǒu,N
適宜,shìyí ,Vs
適中,shìzhōng ,Vs
收藏,shōucáng ,V
收費,shōufèi ,V-sep
收集,shōují ,V
收買,shōumăi ,V
收縮,shōusuō ,Vi
收聽,shōutīng ,V
收益,shōuyì ,N
手冊,shǒucè ,N
手槍,shǒuqiāng ,N
手勢,shǒushì ,N
守,shǒu,V
守護,shǒuhù ,V
首府,shǒufŭ ,N
首領,shǒulǐng ,N
首席,shǒuxí ,N
首飾,shǒushì ,N
首先,shǒuxiān,Conj
首長,shǒuzhǎng,N
受害,shòuhài ,Vp
受訓,shòuxùn ,V-sep
售貨員,shòuhuòyuán ,N
授課,shòukè ,V-sep
狩獵,shòuliè ,V
壽星,shòuxīng ,N
疏導,shūdăo ,V
疏散,shūsàn,V
梳,shū ,V
書本,shūběn ,N
書面,shūmiàn ,N
書寫,shūxiě ,V
舒暢,shūchàng ,Vs
舒展,shūzhăn ,V
輸血,shūxiě ,V-sep
束縛,shùfú ,V
樹苗,shùmiáo ,N
數據,shùjù ,N
率,shuài ,V
霜,shuāng ,N
雙重,shuāngchóng ,Vs-attr
雙打,shuāngdă ,N
爽快,shuăngkuài ,Vs
水道,shuǐdào ,N
水稻,shuǐdào ,N
水晶,shuǐjīng ,N
水庫,shuǐkù ,N
水力,shuǐlì ,N
水泥,shuǐní ,N
水源,shuǐyuán ,N
水蒸氣,shuǐzhēngqì ,N
睡眠,shuìmián ,N
順從,shùncóng,Vs
順應,shùnyìng,Vst
瞬間,shùnjiān ,N
說謊,shuōhuăng ,V-sep
說笑,shuōxiào ,Vi
思潮,sīcháo ,N
思念,sīniàn ,Vst
思維,sīwéi ,N
絲毫,sīháo ,Det
司令,sīlìng ,N
斯文,sīwén ,Vs
私心,sīxīn ,N
賜,sì ,V
似的/地,sìde,
松樹,sōngshù ,N
慫恿,sǒngyǒng ,V
搜集,sōují ,V
俗稱,súchēng ,Vst
俗語,súyŭ ,N
塑膠,sùjiāo ,N
訴苦,sùkŭ ,Vi
