詞彙,漢語拼音,詞類
阿姨,āyí,N
哎,āi ,Ptc
唉,āi ,Ptc
愛,ài ,N
愛情,àiqíng ,N
愛惜,àixí ,Vst
愛心,àixīn ,N
安定,āndìng ,Vs
安排,ānpái ,N
安排,ānpái ,V
安心,ānxīn ,Vs
按,àn ,Prep
按照,ànzhào ,Prep
巴士,bāshì ,N
把,bǎ ,M
把握,băwò ,V
白,bái ,Adv
白,bái ,Vs
白(白),bái(bái),Adv
白菜,báicài ,N
白天,báitiān ,N
擺,băi ,V
百貨公司,băihuògōngsī,N
班機,bānjī ,N
搬家,bānjiā ,V-sep
辦,bàn ,V
辦理,bànlĭ,V
半天,bàntiān ,N
半夜,bànyè ,N
幫助,bāngzhù ,V
榜樣,băngyàng ,N
棒,bàng,Vs
包,bāo ,V
包含,bāohán ,Vst
寶貝,băobèi,N
寶貴,băoguì ,Vs
保護,băohù ,V
保守,băoshǒu ,Vs
保養,băoyăng ,V
保證/証,băozhèng ,N
保證/証,băozhèng ,V
抱,bào,V
抱怨,bàoyuàn ,V
報名,bàomíng ,V-sep
背包,bēibāo ,N
北方,běifāng ,N
被動,bèidòng ,Vs
背後,bèihòu ,N
背景,bèijĭng ,N
輩子,bèizi ,N
本,běn ,Det
本人,běnrén ,N
本子,běnzi,N
笨,bèn ,Vs
逼,bī ,V
筆,bĭ,M
比,bǐ ,V
比如(說),bǐrú(shuō),Prep
畢竟,bìjìng ,Adv
避免,bìmiăn ,V
必要,bìyào ,Vs
鞭炮,biānpào ,N
變,biàn ,Vp
變成,biànchéng ,Vpt
變更,biàngēng ,V
變化,biànhuà ,N
變化,biànhuà ,Vs
便條,biàntiáo ,N
標準,biāozhŭn ,N
標準,biāozhŭn ,Vs
表,biǎo ,N
表,biǎo ,N
表達,biăodá ,V
表面,biăomiàn ,N
表示,biăoshì ,V
表現,biǎoxiàn ,N
表現,biǎoxiàn ,V
表演,biǎoyǎn ,V
別的,biéde,Det
冰,bīng ,N
冰塊/冰塊兒,bīngkuài/bīngkuàir,N
餅,bǐng ,N
病,bìng ,Vp
伯伯,bóbo ,N
博士,bóshì ,N
播,bò ,V
不必,búbì ,Vaux
不斷,búduàn ,Adv
不斷,búduàn ,Vs
不過,búguò ,Adv
不過,búguò ,Conj
不見(了),bújiàn(le),Vp
不論,búlùn ,Conj
不幸,búxìng ,Vs
不用說,búyòngshuō ,Conj
不得不,bùdébù ,Adv
不得了,bùdéliăo ,Vs
不管,bùguǎn ,Conj
不滿,bùmăn ,Vs
不如,bùrú ,Vst
不少,bùshǎo ,Det
不少,bùshǎo ,Vs
不足,bùzú ,Vs
部,bù ,M
部分/份,bùfèn,Det
部分/份,bùfèn,N
部門,bùmén ,N
布,bù ,N
布/佈置,bùzhì ,V
擦,cā,V
猜,cāi,V
材料,cáiliào ,N
採用,căiyòng ,V
餐,cān,M
餐桌,cānzhuō,N
參考,cānkăo ,V
草地,cǎodì,N
草原,cǎoyuán ,N
層,céng ,M
曾,céng ,Adv
曾經,céngjīng ,Adv
差別,chābié ,N
差異,chāyì ,N
查,chá ,V
差(一)點/差(一)點兒,chà(yì)diăn/chà(yì)diănr,Adv
產品,chǎnpǐn ,N
產生,chănshēng ,Vpt
常,cháng,Adv
嘗/嚐試,chángshì ,V
場,chǎng ,M
超過,chāoguò ,Vpt
超級,chāojí ,Vs-attr
炒,chăo ,V
吵,chăo,V
吵架,chăojià ,V-sep
車禍,chēhuò ,N
趁,chèn ,Prep
成,chéng ,Vpt
成果,chéngguǒ ,N
成就,chéngjiù ,N
成熟,chéngshú,Vs
成長,chéngzhăng ,Vs
程度,chéngdù ,N
承認,chéngrèn ,V
誠實,chéngshí ,Vs
吃喝玩樂,chīhēwánlè ,Vi
尺,chǐ ,M
充實,chōngshí ,Vs
重新,chóngxīn ,Adv
蟲(子),chóng(zi),N
抽,chōu ,V
醜,chŏu,Vs
臭,chòu ,Vs
初,chū ,N
出版,chūbăn ,V
出差,chūchāi ,V-sep
出門,chūmén ,V-sep
出租,chūzū ,V
除了,chúle ,Prep
除夕,chúxì ,N
廚師,chúshī ,N
處理,chŭlĭ,V
傳統,chuántŏng ,Vs
串,chuàn ,M
創造,chuàngzào ,V
吹,chuī,V
春節,chūnjié ,N
詞,cí ,N
此,cĭ,Det
刺激,cìjī ,N
刺激,cìjī ,Vs
從不,cóngbù ,Adv
從來,cónglái ,Adv
從小,cóngxiăo ,Adv
醋,cù ,N
存,cún ,V
存在,cúnzài ,Vi
寸,cùn ,M
錯,cuò ,N
錯誤,cuòwù ,N
挫折,cuòzhé ,N
