詞彙,漢語拼音,詞類
答應,dāyìng ,V
達成,dáchéng ,Vpt
打工,dăgōng ,V-sep
打架,dăjià ,V-sep
打聽,dătīng ,V
打仗,dăzhàng ,V-sep
打折,dăzhé ,V-sep
大大,dàdà ,Adv
大多數,dàduōshù ,Det
大方,dàfāng ,Vs
大概,dàgài ,Adv
大會,dàhuì ,N
大陸,dàlù ,N
大門,dàmén ,N
大小,dàxiăo ,N
大約,dàyuē ,Adv
袋,dài ,M
代表,dàibiǎo ,N
代表,dàibiǎo ,V
代替,dàitì ,V
帶來,dàilái ,V
帶領,dàilĭng ,V
單純,dānchún ,Vs
單身,dānshēn ,Vs
擔任,dānrèn ,V
但,dàn ,Conj
淡,dàn ,Vs
當,dāng ,Vst
當場,dāngchăng ,Adv
當地,dāngdì ,N
當面,dāngmiàn ,Adv
當年,dāngnián ,N
當天,dāngtiān ,N
當中,dāngzhōng ,N
當作,dāngzuò ,Vst
當做,dāngzuò ,Vst
倒,dǎo ,Adv
島,dăo ,N
導演,dăoyăn ,N
到,dào,Conj
到,dào,Prep
到處,dàochù ,Adv
到底,dàodĭ,Adv
到底,dàodǐ ,Vs-pred
道德,dàodé ,N
道教,Dàojiào,N
道理,dàolǐ ,N
道歉,dàoqiàn ,V-sep
倒,dào ,V
倒是,dàoshì ,Adv
得,dé ,Vaux
得到,dédào ,Vpt
得意,déyì ,Vs
得很,dehěn ,
的話,dehuà ,
得,děi,Vpt
燈光,dēngguāng ,N
等,děng ,V
等/等等,děng/děngděng,Ptc
等待,děngdài ,V
低,dī,Vs
敵人,dírén ,N
底,dǐ ,N
底下,dǐxià ,N
抵達,dĭdá ,V
地,dì ,Ptc
地板,dìbăn ,N
地帶,dìdài ,N
地點,dìdiăn ,N
地理,dìlĭ ,N
地區,dìqū ,N
地攤,dìtān ,N
地位,dìwèi ,N
地下,dìxià ,N
地形,dìxíng ,N
點,diăn,M
點,diăn,N
點,diǎn ,V
點/點兒,diǎn/diǎnr,
電,diàn ,N
電車,diànchē ,N
電池,diànchí ,N
電燈,diàndēng,N
店員,diànyuán ,N
調查,diàochá ,V
訂,dìng ,V
丟,diū ,Vpt
東北,dōngběi ,N
東方,dōngfāng ,N
東南,dōngnán ,N
懂事,dǒngshì ,Vs
逗,dòu ,V
豆腐,dòufŭ ,N
豆漿,dòujiāng ,N
都市,dūshì ,N
毒品,dúpǐn ,N
獨特,dútè ,Vs
讀者,dúzhě ,N
段,duàn ,M
堆,duī ,M
對,duì ,M
對,duì ,Prep
對,duì ,V
對不起,duìbùqǐ,
對方,duìfāng ,N
對話,duìhuà ,N
對了,duìle,
對象,duìxiàng ,N
多多少少,duōduōshăoshăo ,Adv
多麼,duóme ,Adv
朵,duǒ,M
頓,dùn ,M
嗯,ēn ,Ptc
而,ér ,Conj
兒童,értóng ,N
發,fā,V
發表,fābiăo ,V
發財,fācái ,Vp-sep
發出,fāchū ,Vpt
發達,fādá ,Vs
發揮,fāhuī ,V
發覺,fājué ,Vpt
發明,fāmíng ,N
發明,fāmíng ,Vpt
發脾氣,fāpíqì ,Vi
發票,fāpiào ,N
法律,fălǜ,N
翻,fān ,V
翻譯,fānyì ,V
煩惱,fánnăo ,Vs
反而,fănér ,Conj
反應,fănyìng ,N
犯,fàn ,Vst
範圍,fànwéi ,N
方面,fāngmiàn ,N
方式,fāngshì ,N
房東,fángdōng ,N
房客,fángkè ,N
房屋,fángwū ,N
訪問,fǎngwèn ,V
放心,fàngxīn ,Vs-sep
非,fēi ,Adv
非,fēi ,Vst
飛,fēi ,Vi
費用,fèiyòng ,N
分開,fēnkāi ,Vp
份,fèn ,M
封,fēng,M
豐富,fēngfù ,Vs
風格,fēnggé ,N
風俗,fēngsú ,N
佛教,Fójiào,N
否則,fŏuzé ,Conj
夫婦,fūfù ,N
符合,fúhé ,Vs
福利,fúlì ,N
服裝,fúzhuāng ,N
腐敗,fŭbài ,Vs
付出,fùchū ,Vpt
負擔,fùdān ,N
負擔,fùdān ,V
負責,fùzé ,Vs
複習,fùxí ,V
該,gāi ,Vaux
改,gǎi ,V
改變,gǎibiàn ,N
改變,gǎibiàn ,V
改進,găijìn ,V
改善,găishàn ,V
改天,găitiān ,Adv
蓋,gài ,V
概念,gàiniàn ,N
敢,gǎn ,Vaux
趕,găn ,V
趕快,gǎnkuài ,Adv
趕上,gănshàng ,Vpt
感動,găndòng ,Vs
感想,gănxiăng ,N
感興趣,gănxìngqù ,Vs
剛,gāng ,Adv
高速,gāosù ,Vs-attr
高中,gāozhōng ,N
搞,găo ,V
歌曲,gēqŭ  ,N
歌星,gēxīng ,N
隔壁,gébì ,N
革命,gémìng ,Vi
個人,gèrén ,N
個子,gèzi ,N
各式各樣,gèshìgèyàng ,Vs-attr
各位,gèwèi ,N
個,ge,Ptc
給,gěi,Prep
跟,gēn ,Prep
跟,gēn ,V
根,gēn ,M
根,gēn ,N
根據,gēnjù ,Prep
更加,gèngjiā ,Adv
公尺,gōngchǐ ,M
公分,gōngfēn ,M
公共,gōnggòng ,Vs-attr
公克,gōngkè ,M
公路,gōnglù ,N
功夫,gōngfu ,N
功能,gōngnéng ,N
工具,gōngjù ,N
工業,gōngyè ,N
工作,gōngzuò,Vi
恭喜,gōngxǐ,V
共,gòng ,Adv
共同,gòngtóng ,Vs-attr
貢獻,gòngxiàn ,N
貢獻,gòngxiàn ,V
溝通,gōutōng ,V
夠,gòu ,Adv
夠,gòu ,Vs-pred
購買,gòumăi ,V
姑娘,gūniáng ,N
古,gŭ ,Vs-attr
古代,gŭdài ,N
古蹟,gŭjī ,N
古老,gŭlăo ,Vs
顧,gù ,V
故意,gùyì ,Vs
刮,guā ,V
乖,guāi,Vs
怪,guài ,V
怪,guài ,Vs
關,guān ,Vp
觀察,guānchá ,V
觀點,guāndiăn ,N
觀念,guānniàn ,N
觀眾,guānzhòng ,N
管,guăn ,V
罐,guàn ,M
廣播,guǎngbò ,N
廣播,guǎngbò ,Vi
廣場,guăngchăng ,N
廣告,guănggào ,N
逛,guàng ,V
逛街,guàngjiē ,V-sep
規矩,guījŭ ,N
規模,guīmó ,N
鬼,guǐ ,N
貴姓,guìxìng,
櫃子,guìzi ,N
國內,guónèi ,N
國外,guówài ,N
國王,guówáng ,N
國語,guóyŭ ,N
過,guò,V
過去,guòqù,N
過日子,guòrìzi ,Vi
嗨,hāi ,Ptc
還,hái ,Adv
還好,háihăo  ,Adv
還是,háishì ,Adv
還要,háiyào  ,Adv
海報,hăibào  ,N
海灘,hăitān  ,N
海洋,hǎiyáng ,N
害,hài ,V
害怕,hàipà,Vs
行,háng ,M
航空,hángkōng ,N
好,hăo ,Vs
好處,hǎochù ,N
好好/好好兒,hǎohǎo/hǎohǎor,Adv
好幾,hǎojǐ ,Det
好了,hǎole ,Ptc
好些,hǎoxiē ,Det
和,hé ,Prep
盒,hé ,M
合,hé ,Vs
合唱,héchàng ,V
合作,hézuò ,Vs
黑,hēi,Vs
恨,hèn ,Vst
恨不得,hènbùdé ,Vst
紅,hóng,Vs
紅包,hóngbāo,N
紅豆,hóngdòu ,N
厚,hòu ,Vs
後,hòu ,Det
後,hòu ,N
忽然,hūrán ,Adv
糊塗,hútú ,Vs
互相,hùxiāng ,Adv
花,huā ,V
花心,huāxīn,Vs
滑雪,huáxuě,V-sep
畫家,huàjiā,N
話說回來,huàshuōhuílái ,
話題,huàtí ,N
化妝品,huàzhuāngpĭn ,N
壞處,huàichù ,N
還,huán,V
環保,huánbăo ,N
黃,huáng,Vs
回,huí ,M
回答,huídá ,N
回想,huíxiăng ,V
會,huì ,N
會場,huìchăng ,N
會話,huìhuà ,N
會議,huìyì ,N
婚禮,hūnlǐ ,N
婚姻,hūnyīn ,N
混亂,hùnluàn ,Vs
活,huó ,Vs-attr
活動,huódòng ,Vi
或許,huòxŭ ,Adv
基本,jīběn ,N
基本,jīběn ,Vs
基礎,jīchŭ  ,N
基督教,Jīdūjiào,N
激動,jīdòng ,Vs
激烈,jīliè  ,Vs
積極,jījí  ,Vs
機器,jīqì,N
及,jí ,Conj
急,jí ,Vs
極,jí ,Adv
極了,jíle ,
擠,jǐ ,V
擠,jǐ ,Vs
既,jì ,Conj
記,jì ,Vst
記錄,jìlù ,N
記錄,jìlù  ,V
記憶,jìyì ,N
季節,jìjié ,N
紀念,jìniàn  ,N
紀念,jìniàn  ,Vst
技巧,jìqiăo  ,N
繼續,jìxù ,V
加,jiā,V
加強,jiāqiáng ,V
加入,jiārù ,Vpt
加上,jiāshàng ,V
加油,jiāyóu ,Vi
家,jiā ,M
家鄉,jiāxiāng ,N
家長,jiāzhăng ,N
假,jiă ,Vs
假如,jiărú ,Conj
假裝,jiăzhuāng ,V
架,jià ,M
假日,jiàrì ,N
價值,jiàzhí ,N
肩膀,jiānbăng ,N
堅持,jiānchí ,Vs
堅強,jiānqiáng ,Vs
減,jiăn ,Vst
減輕,jiănqīng ,Vpt
減少,jiănshăo ,Vpt
簡直,jiănzhí ,Adv
見,jiàn ,Vpt
建立,jiànlì ,V
建設,jiànshè ,N
建設,jiànshè ,V
建議,jiànyì ,N
建議,jiànyì ,V
將來,jiānglái ,N
講價,jiăngjià ,Vi
講究,jiăngjiù ,Vs
獎學金,jiăngxuéjīn ,N
降低,jiàngdī ,Vpt
醬油,jiàngyóu ,N
交,jiāo ,V
交流,jiāoliú ,Vi
交友,jiāoyǒu ,Vi
驕傲,jiāoào ,Vs
郊區,jiāoqū ,N
角度,jiăodù ,N
角/角色,jiăo/juésè,N
叫,jiào ,V
叫,jiào ,Vst
較,jiào ,Adv
教,jiào ,Vst
教材,jiàocái ,N
教導,jiàodăo ,V
教法,jiàofă ,N
教練,jiàoliàn ,N
教授,jiàoshòu ,N
教訓,jiàoxùn ,N
教育,jiàoyù ,N
教育,jiàoyù ,V
接觸,jiēchù ,V
接受,jiēshòu ,V
接著,jiēzhe ,Adv
結,jié ,V
結果,jiéguǒ ,Conj
結局,jiéjú ,N
節,jié ,M
節日,jiérì ,N
解決,jiějué,V
解釋,jiěshì ,V
姊妹,jiěmèi ,N
斤,jīn,M
金(子),jīn(zi),N
緊,jǐn ,Vs
僅,jĭn ,Adv
儘管,jĭnguăn ,Conj
盡,jìn ,Vst
進,jìn ,V
進行,jìnxíng ,V
進一步,jìnyíbù  ,Adv
經,jīng ,V
經費,jīngfèi ,N
經過,jīngguò ,N
經過,jīngguò  ,Vst
經驗,jīngyàn ,Vpt
精神,jīngshén ,N
驚訝,jīngyà  ,Vs
酒吧,jiŭbā ,N
救,jiù ,V
舅舅,jiùjiu ,N
舅媽,jiùmā,N
就,jiù ,Prep
就是,jiùshì ,Conj
就算,jiùsuàn ,Conj
就要,jiùyào,Adv
居住,jūzhù ,Vi
橘子,júzi ,N
舉,jǔ ,V
舉辦,jŭbàn ,V
舉手,jŭshŏu,V-sep
舉行,jǔxíng ,V
句,jù ,M
聚,jù ,Vi
劇本,jùběn ,N
劇情,jùqíng ,N
拒絕,jùjué ,V
距離,jùlí ,N
具有,jùyŏu ,Vst
絕對,juéduì ,Adv
軍隊,jūnduì ,N
軍人,jūnrén ,N
卡車,kǎchē ,N
開放,kāifàng ,V
開花,kāihuā ,Vp-sep
開朗,kāilăng ,Vs
開始,kāishǐ ,N
開玩笑,kāiwánxiào ,V-sep
看不起,kànbùqĭ,Vst
看法,kànfǎ ,N
看起來,kànqĭlái,Adv
考,kǎo ,V
棵,kē,M
刻,kē ,M
科,kē ,M
科技,kējì ,N
科學,kēxué ,Vs
可,kě ,Adv
可,kě ,Vaux
可靠,kěkào ,Vs
可樂,kělè,N
可惡,kěwù ,Vs
可惜,kěxí ,Vs
可以,kěyǐ ,Vaux
渴望,kěwàng ,Vst
克,kè ,M
克服,kèfú ,Vpt
課程,kèchéng ,N
課堂,kètáng ,N
課文,kèwén,N
客滿,kèmăn ,Vp
刻,kè ,V
肯,kěn ,Vaux
肯定,kěndìng ,Vs
空,kōng ,Vs
空間,kōngjiān ,N
空軍,kōngjūn ,N
恐怕,kǒngpà ,Adv
空,kòng ,Vs
口,kǒu ,N
口袋,kǒudài ,N
口味,kŏuwèi  ,N
誇張,kuāzhāng ,Vs
快,kuài,Adv
快要,kuàiyào ,Adv
寬,kuān ,Vs
況且,kuàngqiě ,Conj
困難,kùnnán ,N
困難,kùnnán ,Vs
擴大,kuòdà ,V
拉肚子,lādùzi ,V-sep
啦,la,Ptc
來,lái ,Adv
來,lái ,Ptc
來不及,láibùjí ,Vs
來得及,láidejí  ,Vs
藍,lán ,Vs
浪漫,làngmàn ,Vs
老公,lăogōng ,N
老虎,lăohŭ ,N
老婆,lăopó ,N
老實,lăoshí ,Vs
老是,lăoshì ,Adv
樂,lè ,Vs
樂觀,lèguān ,Vs
樂趣,lèqù ,N
垃圾,lèsè ,N
淚,lèi ,N
類,lèi ,M
冷淡,lěngdàn ,Vs
離,lí ,Prep
離婚,líhūn ,Vp-sep
里,lǐ ,M
裡/裏,lĭ/lĭ,N
裡邊,lĭbiān,N
理解,lĭjiě ,Vst
理論,lĭlùn ,N
理想,lĭxiăng ,N
理想,lĭxiăng ,Vs
裏面,lǐmiàn,N
禮堂,lĭtáng ,N
力,lì ,N
力量,lìlìàng,N
厲害,lìhài ,Vs
立刻,lìkè ,Adv
例如,lìrú ,Prep
例子,lìzi ,N
利益,lìyì ,N
利用,lìyòng ,V
連,lián ,Conj
連,lián ,Vst
連/聯絡,liánluò ,V
連續劇,liánxùjù ,N
練,liàn ,V
戀愛,liànài ,Vp
涼,liáng,Vs
良好,liánghăo ,Vs
亮,liàng,Vs
聊,liáo ,V
了不起,liăobùqĭ,Vs
靈魂,línghún ,N
零錢,língqián ,N
零用錢,língyòngqián ,N
領,lǐng ,V
領導,lĭngdăo ,V
領域,lĭngyù ,N
令,lìng ,Vst
流,liú ,V
流汗,liúhàn ,V-sep
流血,liúxiě ,V-sep
留學,liúxué ,Vi
留學生,liúxuéshēng ,N
龍,lóng ,N
錄,lù ,V
錄取,lùqŭ  ,V
錄音,lùyīn ,V-sep
露營,lùyíng  ,V-sep
亂,luàn,Vs
輪胎,lúntāi ,N
旅客,lǚkè ,N
綠,lǜ,Vs
律師,lǜshī ,N
麻煩,máfán,Vs
馬桶,mătŏng ,N
碼頭,mătou ,N
螞蟻,măyĭ,N
罵,mà ,V
嘛,ma ,Ptc
滿,măn ,Det
滿,măn ,Vs
滿足,mănzú  ,Vs
慢慢,mànmàn,
慢跑,mànpăo ,Vi
慢用,mànyòng ,Vi
毛,máo ,N
毛病,máobìng ,N
貿易,màoyì ,N
沒,méi,Ptc
沒,méi,Vp
沒什麼,méishénme ,Vs
沒想到,méixiăngdào ,
玫瑰(ㄍㄨㄟ˙),méigui ,N
每,měi ,Adv
美好,měihăo ,Vs
門,mén ,M
夢,mèng ,N
迷路,mílù ,Vp-sep
迷人,mírén ,Vs
米飯,mǐfàn ,N
米粉,mĭfěn ,N
秘/祕密,mìmì ,N
密切,mìqiè ,Vs
免費,miănfèi ,Vs
面,miàn ,M
面,miàn ,N
面積,miànjī ,N
面前,miànqián ,N
麵條,miàntiáo ,N
描寫,miáoxiě ,V
秒,miǎo ,M
廟,miào ,N
民國,mínguó ,N
民族,mínzú ,N
名,míng ,M
名詞,míngcí ,N
明白,míngbái ,Vpt
明顯,míngxiăn ,Vs
明星,míngxīng ,N
命,mìng ,N
摸,mō ,V
摩托車/機車,mótuōchē/jīchē,N
陌生,mòshēng ,Vs
某,mŏu,Det
木,mù ,N
木頭,mùtou,N
目的,mùdì ,N
目前,mùqián ,N
拿手,náshŏu ,Vs
哪裡/哪兒,nǎlǐ/nǎr,N
哪些,nǎxiē ,Det
那,nà,Conj
那裡,nàlǐ,N
那麼,nàme,Conj
那樣,nàyàng,Adv
那樣,nàyàng,Vs
哪,na,Ptc
奶,nǎi ,N
奶茶,nǎichá ,N
耐心,nàixīn ,N
南方,nánfāng ,N
難怪,nánguài ,Adv
難看,nánkàn ,Vs
腦,năo ,N
腦子,năozi ,N
鬧鐘,nàozhōng ,N
內,nèi ,N
內容,nèiróng ,N
能,néng ,Vaux
能夠,nénggòu ,Vaux
能力,nénglì ,N
年,nián ,N
年代,niándài ,N
年齡,niánlíng ,N
年年,niánnián ,Adv
念書,niànshū ,V-sep
農業,nóngyè  ,N
女士,nǚshì ,N
喔,ō ,Ptc
哦,ó ,Ptc
噢,òu ,Ptc
拍,pāi ,V
排,pái ,V
牌子,páizi ,N
盼望,pànwàng ,Vst
旁,páng ,N
陪,péi ,V
培養,péiyăng ,V
配,pèi ,V
配合,pèihé ,V
碰,pèng ,V
碰到,pèngdào ,Vpt
碰上,pèngshàng ,Vpt
批評,pīpíng ,V
皮,pí ,N
皮帶,pídài ,N
皮膚,pífū ,N
皮鞋,píxié ,N
篇,piān ,M
騙子,piànzi ,N
品質,pĭnzhí ,N
坪,píng ,M
平,píng ,Vs
平安,píngān ,Vs
平等,píngděng ,Vs
平時,píngshí ,N
平原,píngyuán ,N
瓶子,píngzi,N
破,pò,Vp
破壞,pòhuài ,V
葡萄,pútáo ,N
普遍,pŭbiàn ,Vs
欺負,qīfù ,V
其次,qícì ,Conj
其實,qíshí ,Adv
其中,qízhōng ,Det
期,qí,M
期間,qíjiān ,N
起,qĭ,N
起,qĭ,V
起,qĭ,Ptc
起來,qĭlái ,Ptc
氣,qì ,N
氣,qì ,Vst
氣溫,qìwēn ,N
汽水,qìshuǐ,N
企業,qìyè ,N
簽名,qiānmíng ,V-sep
簽證,qiānzhèng ,N
謙虛,qiānxū ,Vs
前,qián ,Det
前,qián ,N
前年,qiánnián ,N
淺,qiǎn ,Vs
強盜,qiángdào ,N
強調,qiángdiào ,V
搶,qiǎng ,V
親,qīn,V
親切,qīnqiè,Vs
親手,qīnshŏu  ,Adv
親眼,qīnyăn ,Adv
親自,qīnzì ,Adv
清,qīng ,Vs-pred
青年,qīngnián ,N
青少年,qīngshàonián  ,N
輕鬆,qīngsōng  ,Vs
晴,qíng ,Vs-pred
情,qíng ,N
情人,qíngrén  ,N
情況,qíngkuàng ,N
情形,qíngxíng ,N
請教,qĭngjiào ,V
請求,qĭngqiú ,V
窮,qióng ,Vs
求,qiú ,V
球,qiú,N
球場,qiúchăng ,N
球賽,qiúsài ,N
球員,qiúyuán ,N
取代,qŭdài ,V
去,qù ,Adv
去,qù ,Ptc
去世,qùshì ,Vp
全,quán ,Det
全球,quánqiú ,N
全身,quánshēn ,N
缺點,quēdiăn ,N
卻,què ,Adv
確定,quèdìng ,Vs
確認,quèrèn ,V
讓,ràng,V
熱狗,règŏu,N
熱水,rèshuǐ ,N
人家,rénjiā ,N
人間,rénjiān ,N
人口,rénkǒu ,N
人類,rénlèi ,N
人們,rénmen ,N
人民,rénmín ,N
人人,rénrén ,N
人數,rénshù ,N
人物,rénwù ,N
忍,rěn ,Vs
忍耐,rěnnài ,Vst
認,rèn ,V
認得,rèndé ,Vst
任務,rènwù ,N
扔,rēng ,Vpt
仍,réng ,Adv
仍然,réngrán ,Adv
日出,rìchū ,Vi
日記,rìjì ,N
日子,rìzi,N
如,rú ,Conj
如此,rúcǐ ,Vs
如下,rúxià ,Vs
如意,rúyì ,Vs
弱,ruò ,Vs
傘,sǎn,N
殺,shā ,V
曬,shài ,V
山區,shānqū ,N
傷害,shānghài ,V
商品,shāngpĭn ,N
商人,shāngrén ,N
商業,shāngyè ,N
上,shàng ,Det
上,shàng ,N
上當,shàngdàng ,Vp
上帝,shàngdì ,N
上街,shàngjiē ,Vi
上衣,shàngyī ,N
燒,shāo ,V
少,shǎo ,Adv
蛇,shé ,N
設備,shèbèi ,N
設計,shèjì ,N
設計,shèjì ,V
深,shēn ,Vs
深入,shēnrù ,Vs
身邊,shēnbiān ,N
身高,shēngāo ,N
身上,shēnshàng ,N
甚至,shènzhì ,Adv
甚至,shènzhì ,Adv
升,shēng ,V
聲,shēng ,M
聲調,shēngdiào ,N
生,shēng ,V
生產,shēngchăn ,V
生動,shēngdòng ,Vs
生活,shēnghuó,Vi
生命,shēngmìng ,N
生意,shēngyì ,N
生字,shēngzì ,N
省,shěng ,Vst
省錢,shěngqián ,Vs-sep
剩,shèng ,Vst
剩下,shèngxià ,Vpt
濕,shī ,Vs
失戀,shīliàn ,Vp
失去,shīqù ,Vpt
獅子,shīzi ,N
十分,shífēn ,Adv
石頭,shítou,N
石油,shíyóu ,N
時,shí ,N
時代,shídài ,N
時刻,shíkè ,N
實話,shíhuà ,N
實際,shíjì ,Vs
實力,shílì ,N
實行,shíxíng ,V
實在,shízài ,Vs
使得,shĭde ,Vst
使用,shǐyòng ,V
事實,shìshí ,N
事業,shìyè ,N
適應,shìyìng ,Vst
市長,shìzhăng ,N
收穫,shōuhuò ,N
收音機,shōuyīnjī ,N
熟,shóu ,Vs
首,shǒu,M
手套,shŏutào,N
手續,shŏuxù  ,N
受得了,shòudeliăo  ,Vst
書包,shūbāo,N
書架,shūjià ,N
蔬菜,shūcài ,N
舒適,shūshì ,Vs
叔叔,shúshu,N
熟悉,shúxī ,Vs
數,shŭ,V
數字,shùzì ,N
樹木,shùmù ,N
刷牙,shuāyá,V-sep
帥,shuài ,Vs
雙,shuāng ,Vs-attr
水餃,shuǐjiǎo ,N
水平,shuĭpíng ,N
水準,shuĭzhŭn ,N
睡著,shuìzháo ,Vp
順便,shùnbiàn ,Adv
順利,shùnlì ,Vs
說法,shuōfă ,N
說明,shuōmíng ,N
說明,shuōmíng ,V
說起來,shuōqĭlái ,Adv
思考,sīkăo ,V
思想,sīxiăng ,N
似乎,sìhū ,Adv
寺廟,sìmiào ,N
速度,sùdù ,N
算了,suànle ,Vs
隨便,suíbiàn,Vs
隨時,suíshí ,Adv
所,suǒ ,Ptc
所,suŏ ,M
所謂,suŏwèi  ,Vs-attr
它,tā ,N
它們,tāmen ,N
台,tái ,M
抬,tái ,V
颱風,táifēng ,N
態度,tàidù ,N
談話,tánhuà ,V-sep
堂,táng ,M
堂,táng,N
討厭,tǎoyàn,Vst
套,tào ,M
特地,tèdì ,Adv
特色,tèsè ,N
特殊,tèshū ,Vs
提,tí,V
提到,tídào ,Vpt
提高,tígāo ,V
提供,tígōng ,V
題材,tícái ,N
題目,tímù ,N
體會,tĭhuì ,Vst
體力,tĭlì ,N
體貼,tĭtiē ,Vst
體重,tĭzhòng ,N
替,tì ,Prep
天堂,tiāntáng ,N
天天,tiāntiān,Adv
天下,tiānxià ,N
田,tián ,N
填,tián ,V
甜點,tiándiăn ,N
條件,tiáojiàn ,N
挑戰,tiăozhàn ,V
貼,tiē ,V
鐵,tiě ,N
鐵路,tiělù ,N
聽見,tīngjiàn ,Vpt
聽力,tīnglì ,N
聽起來,tīngqĭlái ,Adv
聽眾,tīngzhòng ,N
挺,tĭng ,Adv
通,tōng ,Vs-pred
通過,tōngguò ,Vpt
通知,tōngzhī,N
同,tóng ,Det
同,tóng ,Prep
同情,tóngqíng  ,Vst
同時,tóngshí ,N
同樣,tóngyàng ,Adv
同樣,tóngyàng ,Vs-attr
痛苦,tòngkǔ ,Vs
投,tóu ,V
投資,tóuzī  ,V
頭,tóu ,Det
頭痛,tóutòng  ,Vs
圖,tú ,N
突然,túrán  ,Adv
土,tǔ ,N
